issue_key,status,resolution,custom_field_hub,conversation_start,conversation_end,duration_minutes,first_agent_response_minutes,avg_agent_response_minutes,avg_customer_response_minutes,messages_total,messages_agent,messages_customer,turns,agent_authors,customer_authors,initial_response_sla_5m,initial_response_sla_15m,agent_profanity_detected,agent_profanity_count,customer_abuse_detected,customer_abuse_count,llm_summary_250,conversation_rating,extract_customer_problem,contact_reason,contact_reason_original,agent_score,customer_score,resolved,improvement_tip,llm_model,llm_input_tokens,llm_output_tokens,llm_cost_usd
CC-39362,Done,Done,Q-Park Leicester Square,2025-10-23T16:28:00+00:00,2025-10-23T17:34:00+00:00,66.00,1.00,4.36,1.93,316,17,14,18,712020:2d004b64-fe43-43ea-94c6-0a1d558883d4;712020:4a1cd5f8-3026-4f9f-9e90-f389b942d0d6;712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:e8ff7af3-f8d3-430f-8f1d-4266d7639a82,true,true,false,0,false,0,,,,,Request to cancel weekly subscription,,,,,gpt-4o-mini,,,
CC-39361,Done,Done,Q-Park Pimlico,2025-10-23T16:25:00+00:00,2025-10-23T16:52:00+00:00,27.00,2.00,3.00,3.75,295,6,4,6,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:8e0c02d1-fa3a-4747-82af-03716d220998,true,true,false,0,false,0,,,,,info/question about my current subscription / pass,,,,,gpt-4o-mini,,,
CC-39360,Done,Done,Q-Park Leicester Square,2025-10-23T16:24:00+00:00,2025-10-23T17:43:00+00:00,79.00,1.00,9.64,1.43,311,11,15,11,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:ea55989b-fd9b-4228-aa53-984f665b2b5d,true,true,false,0,false,0,,,,,Request to cancel daily pass,,,,,gpt-4o-mini,,,
CC-39359,Done,Duplicate,,2025-10-23T16:24:00+00:00,2025-10-23T16:34:00+00:00,10.00,10.00,10.00,0.00,290,4,1,2,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:8e0c02d1-fa3a-4747-82af-03716d220998,false,true,false,0,false,0,,,,,Duplicate,,,,,gpt-4o-mini,,,
CC-39358,Done,Done,No active pass / Other,2025-10-23T16:05:00+00:00,2025-10-23T16:56:00+00:00,51.00,1.00,22.50,0.00,293,5,3,4,712020:4a1cd5f8-3026-4f9f-9e90-f389b942d0d6,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:cebb2c00-46de-4694-a84d-f0448a5dfd07,true,true,false,0,false,0,,,,,General information request about the service,,,,,gpt-4o-mini,,,
CC-39357,Done,Duplicate,,2025-10-23T16:05:00+00:00,2025-10-23T17:02:00+00:00,57.00,57.00,57.00,0.00,289,3,1,2,712020:4a1cd5f8-3026-4f9f-9e90-f389b942d0d6;712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:27002430-1c20-419f-a596-fd86d292a76e,false,false,false,0,false,0,,,,,,,,,,gpt-4o-mini,,,
CC-39356,Done,Done,Q-park Queensway,2025-10-23T15:45:00+00:00,2025-10-23T17:28:00+00:00,103.00,,,,288,3,0,0,712020:4a1cd5f8-3026-4f9f-9e90-f389b942d0d6,,,,false,0,false,0,,,,,Request to cancel weekly subscription,,,,,gpt-4o-mini,,,
CC-39355,Done,Done,Q-Park Tower Bridge,2025-10-23T15:42:00+00:00,2025-10-23T16:11:00+00:00,29.00,1.00,5.43,0.50,297,8,4,6,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:07011f4d-39e9-4926-a97c-dc6db673b920,true,true,false,0,false,0,,,,,Info/question about my current ride,,,,,gpt-4o-mini,,,
CC-39354,Done,Done,Q-Park Tower Bridge,2025-10-23T15:24:00+00:00,2025-10-23T15:53:00+00:00,29.00,1.00,5.83,0.20,298,8,5,8,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:0434ed9d-0489-43e5-92e0-ac47492521cd,true,true,false,0,false,0,,,,,info/question about my current subscription / pass,,,,,gpt-4o-mini,,,
CC-39353,Done,Done,NCP Finsbury,2025-10-23T15:21:00+00:00,2025-10-23T16:58:00+00:00,97.00,2.00,2.58,1.11,421,39,97,54,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:27002430-1c20-419f-a596-fd86d292a76e,true,true,false,0,false,0,,,,,info/question about my current subscription / pass,,,,,gpt-4o-mini,,,
